"","MUN","lng9110","lng9100","lng0010","lnProd1991","lnProd2000","lnProd2010","Escol1991","Escol2000","EMedio1991","EMedio2000","Urb1991","Urb2000","Analf1991","Analf2000","Gini1991","Gini2000","LnPop1991","LnPop2000","Indus1991","Indus2000","Serv1991","Serv2000","Horas1991","Horas2000","Horas2010","Sal1991","Sal2000","Sal2010","MA","PI","CE","RN","PB","PE","AL","SE","BA"
"240890",240890,0.97676509496598,0.280239686392919,0.69652540857306,2.2845826827952,2.56482236918812,3.26134777776118,6.00379294362185,6.5558900126794,0.147446480359664,0.200641704185324,0.760000000009491,0.807805787041275,0.302756000045596,0.220800756017641,0.855503923027924,0.855541979506047,9.77423271571556,9.86884434658997,0.361536122851105,0.276678532414321,0.399620001885102,0.538889445753239,45.5143234130087,44.1506249575776,59.5679737189074,430.537704675049,508.607268867451,954.595665411792,0,0,0,1,0,0,0,0,0
"240910",240910,0.811956181870714,0.319829820590818,0.492126361279896,2.28509985004122,2.60492967063203,3.09705603191193,4.71441274587918,5.51457440117372,0.084628284328998,0.0990039102557477,0.46742296484161,0.53884019690331,0.589334450253113,0.405330335213379,0.882667630415935,0.896426584336478,8.78308966980468,9.02749867994254,0.211470084129072,0.131991528487159,0.492526919639648,0.720798539477964,38.6634889713347,45.2912690480536,58.4987647321271,357.702574730244,497.92135076918,624.108684485208,0,0,0,1,0,0,0,0,0
"240920",240920,1.73169578850255,0.899401081561612,0.832294706940939,2.03965206021157,2.93905314177319,3.77134784871412,4.43005691560138,7.21414290337847,0.0723811850784517,0.206117874793491,0.447121274108361,0.495761457921178,0.494480943446463,0.306152518745093,0.83480955072616,0.893540816043105,7.80343505487785,7.89766815080494,0.160652059989235,0.0638508335673603,0.403437132223966,0.872810809919928,31.7174232232034,31.7509132324924,32.7401810177454,239.176636329001,360.694901157789,648.868880205145,0,0,0,1,0,0,0,0,0
"240930",240930,0.518578406986013,0.579667743087378,-0.0610893361013653,2.43485035087191,3.01451809395928,2.95342875785792,6.03401732113342,6.78755915573034,0.138651180017531,0.181217408444703,0.727621156672059,0.79205084595316,0.411139964117927,0.319806251313737,0.873030348891944,0.911721493683569,9.37084226656225,9.32107641351177,0.21392182423068,0.13643884702407,0.425308040246759,0.706531309210468,41.6383214291862,42.41231819188,58.5067155075882,451.271093438719,821.57044351628,698.529223911565,0,0,0,1,0,0,0,0,0
"240940",240940,0.574333260869887,0.140535336153408,0.433797924716479,2.76361637248131,2.90415170863471,3.33794963335119,6.41746186550621,7.52573187761675,0.206677324693163,0.229669638282341,0.853795553857975,0.901163260358353,0.3301182871117,0.23011198695822,0.869001395476442,0.885407361578688,9.9440054997947,10.1169039480885,0.178189087991639,0.127210687739074,0.469160065465225,0.710562851221555,40.9675665526755,42.7677316169293,49.0716818056875,638.519758093513,731.874541480811,1036.95830723705,0,0,0,1,0,0,0,0,0
"240950",240950,0.276968410494196,-0.309628361351897,0.586596771846092,2.76249131865455,2.45286295730266,3.03945972914875,4.28741089417789,6.96360770048942,0.0494292178016363,0.0945038785100016,0.34049871031263,0.321633059492536,0.573514827784692,0.372666499400508,0.85630207636832,0.864722266183917,8.15737043902283,8.29829063424975,0.144869325534349,0.120342943544101,0.469196174875984,0.608003405008127,34.8633879081287,40.7824092869917,50.9768402947987,470.596673992128,422.342223966006,654.749882214829,0,0,0,1,0,0,0,0,0
"240960",240960,0.818664245754025,0.193694500039203,0.624969745714822,2.37535863805462,2.56905313809382,3.19402288380864,4.238121745689,7.16510919094873,0.149321740980007,0.154305392396892,0.207282842315431,0.262732701094789,0.516516104436812,0.443246468756168,0.857063081531273,0.857375237671153,7.90470391190696,7.9540210872956,0.128057850184147,0.0251118915881316,0.440131785722498,0.917409080132021,30.5995046672976,33.9043024819076,49.362832418261,278.720689065774,370.590847545496,740.516440895677,0,0,0,1,0,0,0,0,0
"240970",240970,1.02789834646776,0.573127722884656,0.454770623583101,2.33729948287465,2.91042720575931,3.36519782934241,4.23202795611938,6.0223236926275,0.132255874756515,0.167014138922843,0.471739320453886,0.60198024752432,0.535431950642593,0.38326900161913,0.844722500046955,0.888350784308708,9.34548296397299,8.98794653957125,0.298513686342021,0.156585844263799,0.406129335827203,0.669929612459374,40.1120735150209,37.9341683901443,64.0871074228022,342.293978358957,617.107663316197,894.256854443333,0,0,0,1,0,0,0,0,0
"240980",240980,0.437861851784107,0.227250659173391,0.210611192610715,2.64030864357584,2.86755930274923,3.07817049535995,5.16931671434893,5.88605604071657,0.101794701855253,0.151761620142025,0.414471621187375,0.43001923362106,0.514864088073241,0.388066403354277,0.866614437300024,0.911208393708269,9.45375702698069,9.51177740968619,0.253011480966942,0.137921433571589,0.428520799349267,0.65934960073767,44.9077170344576,42.2058788802372,66.0248882909514,582.779588893994,685.80638456412,784.730825374331,0,0,0,1,0,0,0,0,0
"240990",240990,1.28749512018519,0.42941133512379,0.858083785061401,2.15079231916087,2.58020365428466,3.43828743934606,4.93660670779954,6.06374752075573,0.11903551338549,0.173981370853076,0.756761646305705,0.784492588362371,0.459085000736619,0.324863709127909,0.854464299685428,0.845402559856454,9.31063809129064,9.34145634984161,0.398811326230225,0.265093469412071,0.3296593367194,0.592162506566559,44.2929226517669,44.0564127229068,54.1978161398822,370.157842744881,509.001586765396,1012.3616756488,0,0,0,1,0,0,0,0,0
"241000",241000,-0.381459652255585,-1.09070718875205,0.709247536496462,3.46985958873427,2.37915239998222,3.08839993647868,4.49034360681719,6.04570794565485,0.053119629922134,0.136747450240861,0.639518741388752,0.725516322466066,0.517370960997891,0.332991521972414,0.86980881322548,0.868573722335523,7.67832635448005,8.00703401227002,0.110701663984864,0.0441571895623934,0.372287390539668,0.692642021556041,41.3379589870421,37.2043795443548,48.0687530342832,820.281150661558,331.82354756258,671.610935809676,0,0,0,1,0,0,0,0,0
"241010",241010,0.804769295719532,-0.0108551546915324,0.815624450411065,2.51698318408548,2.50612802939394,3.32175247980501,5.49627167909008,5.92663083637087,0.13021891275686,0.140931590974791,0.529507412752223,0.532652319677151,0.573098147840925,0.391383265829908,0.836981221375033,0.897480494902936,9.254835609725,9.43392986557615,0.357744533354331,0.248704027606593,0.411006053043593,0.542120021550004,39.4888971020702,38.7417117666169,59.669393640191,449.009801247814,445.44875247411,795.225799929098,0,0,0,1,0,0,0,0,0
